"TAZ","family","nonfamily"
100,2,0
101,17,1
102,0,0
103,0,0
104,0,0
105,2,0
106,7,2
107,2,1
108,3,2
109,10,6
110,1,1
111,0,0
112,1,1
113,0,0
114,0,0
115,12,28
116,30,47
117,40,78
118,7,10
119,15,29
120,20,30
121,56,109
122,0,0
123,2,2
124,4,3
125,7,4
126,9,13
127,118,250
128,23,51
129,53,131
130,16,23
131,0,0
132,17,24
133,16,36
134,0,0
135,24,63
136,21,42
137,51,119
138,24,62
139,50,149
140,0,0
141,0,0
142,9,33
143,35,109
144,30,99
145,37,88
146,24,46
147,15,20
148,16,19
149,5,5
150,2,5
151,0,0
152,74,325
153,66,197
154,22,102
155,9,40
156,12,39
157,28,123
158,13,62
159,18,61
160,24,68
161,2,3
162,5,15
165,33,151
166,23,80
167,22,87
168,29,128
169,9,31
170,47,271
173,14,115
178,33,186
179,4,21
180,27,112
181,1,4
182,27,172
183,34,219
184,9,45
185,6,31
186,0,1
187,0,0
188,3,18
189,12,63
190,0,0
191,0,0
192,0,0
193,0,0
194,0,2
195,0,3
196,17,135
197,8,60
198,16,132
199,6,55
200,5,42
201,19,161
202,50,378
203,8,64
204,14,129
205,26,242
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,3
212,19,172
213,14,111
214,20,166
215,5,40
216,1,7
217,4,28
218,1,4
219,1,3
220,1,3
221,2,11
222,3,18
223,5,36
224,2,13
225,0,0
227,5,30
228,10,72
229,0,2
230,25,236
231,11,67
232,17,95
233,0,0
234,0,0
235,3,3
236,1,1
237,8,6
238,10,10
239,1,1
240,1,1
241,18,9
242,1,0
243,2,2
246,0,0
247,2,3
248,1,2
249,2,5
250,0,0
251,5,25
252,1,2
253,0,0
254,1,4
255,89,312
256,31,89
257,5,9
258,2,3
259,2,3
260,34,146
261,4,16
262,0,0
263,0,0
264,22,47
265,4,1
266,0,0
267,1,0
268,1,0
269,1,0
270,4,1
271,0,0
272,2,0
273,4,0
274,2,0
275,0,0
276,0,0
277,8,2
278,12,3
279,8,2
280,4,1
281,5,1
282,2,0
283,2,0
284,14,10
285,4,3
286,12,11
287,1,0
288,5,4
289,3,4
290,0,0
292,25,124
293,5,35
294,9,64
295,8,49
296,12,75
297,0,0
298,0,0
299,0,0
300,2,19
301,17,145
302,69,521
303,2,13
304,62,167
306,0,0
307,8,22
308,0,0
309,29,67
310,28,74
311,27,86
312,34,137
313,17,63
314,1,1
315,78,168
316,27,44
317,27,43
318,8,8
319,1,1
320,0,0
321,0,0
322,0,0
323,5,2
324,1,0
325,8,3
326,8,3
327,0,0
328,4,2
329,6,3
330,1,0
331,1,0
332,2,1
333,4,3
334,5,5
335,5,4
336,5,0
337,8,1
338,3,0
339,0,0
340,2,1
341,0,0
342,6,7
343,1,1
344,6,5
345,1,1
346,0,0
347,9,13
348,13,17
349,9,10
350,27,26
351,0,0
352,1,1
353,28,91
354,2,6
355,18,59
356,74,194
357,2,4
358,6,18
359,0,0
360,2,5
361,23,96
362,9,33
363,5,15
364,7,9
365,15,38
366,2,6
367,7,30
368,0,0
369,0,0
370,0,0
371,0,0
372,8,76
373,0,0
376,0,0
377,0,0
378,2,10
379,0,0
380,0,0
381,9,82
382,0,0
383,0,0
384,0,0
385,0,0
386,9,83
387,0,0
388,0,2
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,2,17
396,0,2
397,0,0
398,0,0
399,15,113
400,0,0
403,19,175
406,2,0
407,5,1
408,9,28
409,0,1
410,5,0
415,0,4
416,13,122
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,19,169
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,3
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,6,2
451,2,1
452,1,1
453,0,0
454,29,31
455,5,2
456,5,6
457,4,11
458,45,168
459,0,0
460,0,0
461,14,66
462,14,84
463,22,143
464,19,154
465,31,236
466,19,144
467,22,151
468,38,262
469,6,38
470,4,27
471,12,9
472,1,0
473,1,1
474,12,10
475,14,68
476,0,1
500,0,0
501,0,0
502,1,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,1,0
513,1,0
514,2,0
515,1,0
516,1,0
517,0,0
518,2,0
519,1,0
520,2,0
521,1,0
522,2,0
523,1,0
524,0,0
525,13,0
526,0,0
527,0,0
528,0,0
529,2,0
530,0,0
531,0,0
532,5,0
533,0,0
534,0,0
535,1,0
536,0,0
537,2,0
538,2,0
539,1,0
540,1,0
541,2,0
542,1,0
543,0,0
544,3,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,1,0
553,0,0
554,0,0
555,0,0
556,0,0
557,1,0
558,4,0
559,2,0
560,1,0
561,1,0
562,1,0
563,13,0
564,12,0
565,6,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,0
571,1,0
572,1,0
573,4,0
574,5,0
575,2,0
576,4,0
577,0,0
578,0,0
579,5,0
580,1,0
581,0,0
582,1,0
583,1,0
584,1,0
585,5,0
586,9,0
587,5,0
588,1,0
589,2,0
590,4,0
591,4,0
592,2,0
593,2,0
594,3,0
595,4,0
596,2,0
597,2,0
598,2,0
599,2,0
600,0,0
601,1,0
602,0,0
603,1,0
604,0,0
605,3,0
606,0,0
607,1,0
608,2,0
609,3,0
610,1,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,1,0
624,1,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,2,0
633,0,0
634,1,0
635,0,0
636,0,0
637,1,0
638,1,0
639,3,0
640,1,0
641,2,0
643,0,0
644,2,0
645,1,0
646,1,0
647,4,0
648,1,0
649,1,0
650,3,0
651,1,0
652,0,0
653,1,0
654,4,0
655,3,0
656,0,0
657,1,0
658,3,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,1,0
667,1,0
668,1,0
669,1,0
670,0,0
671,0,0
672,1,0
673,1,0
674,1,0
675,2,0
676,1,0
677,2,0
678,2,0
679,1,0
680,0,0
681,0,0
682,2,0
683,1,0
684,1,0
685,2,0
686,1,0
687,3,0
688,1,0
689,0,0
690,0,0
691,1,0
692,1,0
693,1,0
694,1,0
695,1,0
696,1,0
697,2,0
698,2,0
699,2,0
700,4,0
701,2,0
702,5,0
703,0,0
704,0,0
705,4,0
706,0,0
707,0,0
708,8,0
709,25,0
710,1,0
711,1,0
712,0,0
713,0,0
714,2,0
715,2,0
716,0,0
717,3,0
718,1,0
719,2,0
720,0,0
721,0,0
722,19,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,1,0
729,4,0
730,1,0
731,0,0
732,0,0
733,0,0
734,0,0
735,1,0
736,0,0
737,0,0
738,0,0
739,0,0
740,5,0
741,2,0
742,5,0
743,1,0
744,7,0
745,10,0
746,11,0
747,0,0
748,0,0
749,0,0
750,9,0
751,5,0
752,2,0
753,1,0
754,0,0
755,3,0
756,10,0
757,0,0
758,3,0
759,3,0
760,1,0
761,1,0
762,4,0
763,7,0
764,3,0
765,0,0
766,0,0
767,0,0
768,3,0
769,0,0
770,3,0
771,6,0
772,5,0
773,1,0
774,2,0
775,8,0
776,3,0
777,2,0
778,4,0
779,8,0
780,14,0
781,18,0
782,7,0
783,8,0
784,16,0
785,2,0
786,3,0
787,5,0
788,11,0
789,2,0
790,3,0
791,5,0
792,4,0
793,4,0
794,5,0
795,3,0
796,5,0
797,5,0
798,2,0
799,0,0
800,0,0
801,3,0
802,0,0
803,0,0
804,0,0
805,0,0
806,1,0
807,2,0
808,1,0
809,3,0
810,2,0
811,0,0
812,0,0
813,0,0
814,2,0
815,2,0
816,0,0
817,1,0
818,1,0
819,1,0
820,5,0
821,0,0
822,7,0
823,6,0
824,2,0
825,3,0
826,0,0
827,1,0
828,1,0
829,2,0
830,1,0
831,1,0
832,0,0
833,3,0
834,0,0
835,2,0
836,2,0
837,1,0
838,0,0
839,2,0
840,0,0
841,1,0
842,2,0
843,0,0
844,1,0
845,2,0
846,0,0
847,0,0
848,2,0
849,1,0
850,1,0
851,3,0
852,3,0
853,0,0
854,0,0
855,0,0
856,9,0
857,9,0
858,0,0
859,0,0
860,1,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,1,0
870,1,0
871,3,0
872,0,0
873,3,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,1,0
889,2,0
890,0,0
891,2,0
892,0,0
893,0,0
894,1,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,1,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,1,0
909,1,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,8,0
916,3,0
917,1,0
918,3,0
919,1,0
920,0,0
921,0,0
922,1,0
923,1,0
924,0,0
1100,0,0
1101,0,0
1103,1,0
1104,2,0
1105,1,0
1106,2,0
1107,0,0
1108,2,0
1109,2,0
1110,3,0
1111,2,0
1112,0,0
1113,0,0
1114,2,0
1115,7,0
1116,2,0
1117,2,0
1118,1,0
1119,2,0
1120,3,0
1121,4,0
1122,7,0
1123,2,0
1124,2,0
1125,1,0
1126,2,0
1127,1,0
1128,0,0
1129,0,0
1130,0,0
1131,5,0
1132,1,0
1133,0,0
1134,2,0
1135,0,0
1136,1,0
1137,6,0
1138,8,0
1139,5,0
1140,1,0
1141,0,0
1142,0,0
1143,1,0
1144,0,0
1145,5,0
1146,7,0
1147,5,0
1148,0,0
1149,4,0
1150,1,0
1151,1,0
1152,2,0
1153,5,0
1154,4,0
1155,2,0
1156,2,0
1157,4,0
1158,14,0
1159,0,0
1160,1,0
1161,6,0
1162,4,0
1163,2,0
1164,4,0
1165,1,0
1166,0,0
1167,1,0
1168,4,0
1169,1,0
1170,8,0
1171,13,0
1172,4,0
1173,1,0
1174,3,0
1175,10,0
1176,0,0
1177,2,0
1178,2,0
1179,6,0
1180,0,0
1181,0,0
1182,3,0
1183,4,0
1184,1,0
1185,1,0
1186,1,0
1187,1,0
1188,2,0
1189,2,0
1190,1,0
1191,2,0
1192,3,0
1193,1,0
1194,4,0
1195,2,0
1200,0,0
1201,0,0
1202,0,0
1203,0,0
1204,0,0
1205,0,0
1206,2,0
1207,0,0
1208,8,0
1209,0,0
1210,3,0
1211,4,0
1220,7,5
1221,28,29
1222,23,28
1223,1,0
1224,11,4
1225,0,0
1226,6,1
1227,0,0
1228,0,0
1229,1,0
1230,0,0
1231,0,0
1232,0,0
1233,1,0
1234,0,0
1235,1,0
1236,1,0
1237,1,0
1238,0,0
1239,0,0
1240,1,0
1241,0,0
1242,1,0
1243,1,0
1244,2,0
1245,2,0
1246,2,0
1247,3,0
1248,2,0
1249,1,0
1250,1,0
1251,1,0
1252,0,0
1253,1,0
1254,4,0
1255,2,0
1256,4,0
1257,2,0
1258,3,0
1259,3,0
1260,3,0
1290,2,0
1291,2,0
1292,7,0
1293,30,1
