"TAZ","BLKGRP","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
100,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
101,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
102,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
103,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
104,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
105,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
106,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
107,"54",41,3,10200,41003010200,102,"Census Tract 102",600,1
108,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
109,"53",41,3,500,41003000500,5,"Census Tract 5",600,1
110,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
111,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
112,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
113,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
114,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
115,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
116,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
117,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
118,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
119,"43",41,3,600,41003000600,6,"Census Tract 6",600,1
120,"43",41,3,600,41003000600,6,"Census Tract 6",600,1
121,"43",41,3,600,41003000600,6,"Census Tract 6",600,1
122,"43",41,3,600,41003000600,6,"Census Tract 6",600,1
123,"12",41,3,500,41003000500,5,"Census Tract 5",600,1
124,"11",41,3,400,41003000400,4,"Census Tract 4",600,1
125,"11",41,3,400,41003000400,4,"Census Tract 4",600,1
126,"10",41,3,900,41003000900,9,"Census Tract 9",600,1
127,"11",41,3,400,41003000400,4,"Census Tract 4",600,1
128,"11",41,3,400,41003000400,4,"Census Tract 4",600,1
129,"18",41,3,400,41003000400,4,"Census Tract 4",600,1
130,"12",41,3,500,41003000500,5,"Census Tract 5",600,1
131,"12",41,3,500,41003000500,5,"Census Tract 5",600,1
132,"12",41,3,500,41003000500,5,"Census Tract 5",600,1
133,"13",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
134,"13",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
135,"13",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
136,"13",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
137,"16",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
138,"16",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
139,"18",41,3,400,41003000400,4,"Census Tract 4",600,1
140,"18",41,3,400,41003000400,4,"Census Tract 4",600,1
141,"18",41,3,400,41003000400,4,"Census Tract 4",600,1
142,"18",41,3,400,41003000400,4,"Census Tract 4",600,1
143,"17",41,3,400,41003000400,4,"Census Tract 4",600,1
144,"17",41,3,400,41003000400,4,"Census Tract 4",600,1
145,"15",41,3,400,41003000400,4,"Census Tract 4",600,1
146,"14",41,3,900,41003000900,9,"Census Tract 9",600,1
147,"10",41,3,900,41003000900,9,"Census Tract 9",600,1
148,"10",41,3,900,41003000900,9,"Census Tract 9",600,1
149,"10",41,3,900,41003000900,9,"Census Tract 9",600,1
150,"10",41,3,900,41003000900,9,"Census Tract 9",600,1
151,"14",41,3,900,41003000900,9,"Census Tract 9",600,1
152,"14",41,3,900,41003000900,9,"Census Tract 9",600,1
153,"15",41,3,400,41003000400,4,"Census Tract 4",600,1
154,"14",41,3,900,41003000900,9,"Census Tract 9",600,1
155,"21",41,3,900,41003000900,9,"Census Tract 9",600,1
156,"21",41,3,900,41003000900,9,"Census Tract 9",600,1
157,"21",41,3,900,41003000900,9,"Census Tract 9",600,1
158,"22",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
159,"20",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
160,"20",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
161,"20",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
162,"20",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
165,"19",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
166,"23",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
167,"23",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
168,"23",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
169,"23",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
170,"22",41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
173,"31",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
178,"30",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
179,"29",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
180,"29",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
181,"29",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
182,"30",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
183,"32",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
184,"29",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
185,"29",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
186,"29",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
187,"49",41,3,600,41003000600,6,"Census Tract 6",600,1
188,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
189,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
190,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
191,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
192,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
193,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
194,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
195,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
196,"32",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
197,"32",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
198,"32",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
199,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
200,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
201,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
202,"33",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
203,"31",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
204,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
205,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
206,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
207,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
208,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
209,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
210,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
211,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
212,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
213,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
214,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
215,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
216,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
217,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
218,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
219,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
220,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
221,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
222,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
223,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
224,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
225,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
227,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
228,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
229,"38",41,3,10600,41003010600,106,"Census Tract 106",600,1
230,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
231,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
232,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
233,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
234,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
235,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
236,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
237,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
238,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
239,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
240,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
241,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
242,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
243,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
246,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
247,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
248,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
249,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
250,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
251,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
252,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
253,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
254,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
255,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
256,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
257,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
258,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
259,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
260,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
261,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
262,"39",41,3,100,41003000100,1,"Census Tract 1",600,1
263,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
264,"40",41,3,100,41003000100,1,"Census Tract 1",600,1
265,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
266,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
267,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
268,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
269,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
270,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
271,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
272,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
273,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
274,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
275,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
276,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
277,"53",41,3,500,41003000500,5,"Census Tract 5",600,1
278,"53",41,3,500,41003000500,5,"Census Tract 5",600,1
279,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
280,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
281,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
282,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
283,"52",41,3,600,41003000600,6,"Census Tract 6",600,1
284,"52",41,3,600,41003000600,6,"Census Tract 6",600,1
285,"52",41,3,600,41003000600,6,"Census Tract 6",600,1
286,"52",41,3,600,41003000600,6,"Census Tract 6",600,1
287,"52",41,3,600,41003000600,6,"Census Tract 6",600,1
288,"52",41,3,600,41003000600,6,"Census Tract 6",600,1
289,"54",41,3,10200,41003010200,102,"Census Tract 102",600,1
290,"54",41,3,10200,41003010200,102,"Census Tract 102",600,1
292,"24",41,3,900,41003000900,9,"Census Tract 9",600,1
293,"32",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
294,"32",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
295,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
296,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
297,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
298,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
299,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
300,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
301,"38",41,3,10600,41003010600,106,"Census Tract 106",600,1
302,"38",41,3,10600,41003010600,106,"Census Tract 106",600,1
303,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
304,"3",41,3,100,41003000100,1,"Census Tract 1",600,1
306,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
307,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
308,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
309,"40",41,3,100,41003000100,1,"Census Tract 1",600,1
310,"40",41,3,100,41003000100,1,"Census Tract 1",600,1
311,"39",41,3,100,41003000100,1,"Census Tract 1",600,1
312,"39",41,3,100,41003000100,1,"Census Tract 1",600,1
313,"39",41,3,100,41003000100,1,"Census Tract 1",600,1
314,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
315,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
316,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
317,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
318,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
319,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
320,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
321,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
322,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
323,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
324,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
325,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
326,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
327,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
328,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
329,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
330,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
331,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
332,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
333,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
334,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
335,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
336,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
337,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
338,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
339,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
340,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
341,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
342,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
343,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
344,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
345,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
346,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
347,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
348,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
349,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
350,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
351,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
352,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
353,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
354,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
355,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
356,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
357,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
358,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
359,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
360,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
361,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
362,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
363,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
364,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
365,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
366,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
367,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
368,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
369,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
370,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
371,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
372,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
373,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
376,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
377,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
378,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
379,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
380,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
381,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
382,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
383,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
384,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
385,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
386,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
387,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
388,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
389,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
390,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
391,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
392,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
393,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
394,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
395,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
396,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
397,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
398,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
399,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
400,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
403,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
406,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
407,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
408,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
409,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
410,"8",41,3,10300,41003010300,103,"Census Tract 103",600,1
415,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
416,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
417,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
418,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
419,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
420,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
421,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
422,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
423,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
424,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
425,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
426,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
427,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
428,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
429,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
430,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
431,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
432,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
433,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
434,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
435,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
436,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
437,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
438,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
439,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
440,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
